Company Name,Company Profile URL,Job Title,Job Posting URL,Portal,Country,Tier Signal,Date
Bright Horizons,https://www.linkedin.com/company/bright-horizons,Marketing Automation Specialist,https://www.linkedin.com/jobs/view/marketing-automation-specialist-at-bright-horizons-4436421819?_l=en,LinkedIn,United States,Email Marketer,
Colleen Rothschild Beauty,https://www.linkedin.com/company/colleen-rothschild-beauty,Email & Lifecycle Marketing Specialist,https://www.linkedin.com/jobs/view/email-lifecycle-marketing-specialist-at-colleen-rothschild-beauty-4446795939?_l=en,LinkedIn,United States,Email Marketer,
Walker-Miller Energy Services,https://www.linkedin.com/company/walker-miller-energy-services-llc,Marketing Specialist,https://www.linkedin.com/jobs/view/marketing-specialist-at-walker-miller-energy-services-4437068383?_l=en,LinkedIn,United States,Email Marketer,
Theoris,https://www.linkedin.com/company/theoris,Junior Salesforce Marketing Specialist,https://www.linkedin.com/jobs/view/junior-salesforce-marketing-specialist-at-theoris-4444607282?_l=en,LinkedIn,United States,Email Marketer,
DigiKey,https://www.linkedin.com/company/digikey,Personalization Specialist,https://www.linkedin.com/jobs/view/personalization-specialist-at-digikey-4446855300?_l=en,LinkedIn,United States,Email Marketer,
PODS,https://www.linkedin.com/company/pods,CRM Email Marketing Specialist III,https://www.linkedin.com/jobs/view/crm-email-marketing-specialist-iii-at-pods-4445136719?_l=en,LinkedIn,United States,Email Marketer,
Careerscape,https://www.linkedin.com/company/careerscape-recruiters,Email Marketing Associate,https://www.linkedin.com/jobs/view/email-marketing-associate-at-careerscape-4443627975?_l=en,LinkedIn,United States,Email Marketer,
Kaplan Early Learning Company,https://www.linkedin.com/company/kaplan-early-learning-company,Email Marketing Specialist (On - site),https://www.linkedin.com/jobs/view/email-marketing-specialist-on-site-at-kaplan-early-learning-company-4445643243?_l=en,LinkedIn,United States,Email Marketer,
Videojet Technologies,https://www.linkedin.com/company/videojet,Marketing Operations Specialist,https://www.linkedin.com/jobs/view/marketing-operations-specialist-at-videojet-technologies-4438145756?_l=en,LinkedIn,United States,Email Marketer,
Wisconsin Manufacturers & Commerce (WMC),https://www.linkedin.com/company/wisconsin-manufacturers-and-commerce,Marketing Coordinator,https://www.linkedin.com/jobs/view/marketing-coordinator-at-wisconsin-manufacturers-commerce-wmc-4446921027?_l=en,LinkedIn,United States,Email Marketer,
YETI,https://www.linkedin.com/company/yeti,CRM Email and Marketing Specialist,https://www.linkedin.com/jobs/view/crm-email-and-marketing-specialist-at-yeti-4446875776?_l=en,LinkedIn,United States,Email Marketer,
Inhabit®,https://www.linkedin.com/company/inhabit-iq,Email Marketing Manager,https://www.linkedin.com/jobs/view/email-marketing-manager-at-inhabit%C2%AE-4443619517?_l=en,LinkedIn,United States,Email Marketer,
LAGOM,https://hk.linkedin.com/company/lagom-living,Email & CRM Specialist,https://www.linkedin.com/jobs/view/email-crm-specialist-at-lagom-4445183660?_l=en,LinkedIn,United States,Email Marketer,
Beacon Hill,https://www.linkedin.com/company/beacon-hill-bhsg,Lifecyle/Digital Marketing Specialist - $90K-$100K - NoVA,https://www.linkedin.com/jobs/view/lifecyle-digital-marketing-specialist-%2490k-%24100k-nova-at-beacon-hill-4444694078?_l=en,LinkedIn,United States,Email Marketer,
McGuireWoods LLP,https://www.linkedin.com/company/mcguirewoods,Marketing Technology Coordinator,https://www.linkedin.com/jobs/view/marketing-technology-coordinator-at-mcguirewoods-llp-4443603748?_l=en,LinkedIn,United States,Email Marketer,
"Rollins, Inc.",https://www.linkedin.com/company/rollins-inc.,Customer Lifecycle Marketing Specialist,https://www.linkedin.com/jobs/view/customer-lifecycle-marketing-specialist-at-rollins-inc-4446446794?_l=en,LinkedIn,United States,Email Marketer,
GEICO,https://www.linkedin.com/company/geico,Journey Specialist II,https://www.linkedin.com/jobs/view/journey-specialist-ii-at-geico-4426191021?_l=en,LinkedIn,United States,Email Marketer,
Scouting America,https://www.linkedin.com/company/scouting-america,Email & CRM Marketing Analyst,https://www.linkedin.com/jobs/view/email-crm-marketing-analyst-at-scouting-america-4435575821?_l=en,LinkedIn,United States,Email Marketer,
